EmpID,EmpName,EmailID,Username,Password,Role,Category
1,Raj,raj@navigantbpm.com,raj,raj1,Admin,1
2,Kiran,kiran@navigantbpm.com,kiran,kiran2,User,2
3,Surya,surya@navigantbpm.com,surya,surya3,Admin,3
4,Mahesh,mahesh@navigantbpm.com,mahesh,mahesh4,User,4
5,Maya,maya@navigantbpm.com,maya,maya5,Admin,5
6,John,john@navigantbpm.com,john,john6,User,1
7,Kathy,kathy@navigantbpm.com,kathy,kathy7,Admin,2
8,David,david@navigantbpm.com,david,david8,User,3
9,Jina,jina@navigantbpm.com,jina,jina9,Admin,4
10,Seema,seema@navigantbpm.com,seema,seema10,User,5
11,Vijay,vijay@navigantbpm.com,vijay,vijay11,User,2
12,Allu,allu@navigantbpm.com,allu,allu12,User,3
13,Surya P,psurya@navigantbpm.com,psurya,psurya13,User,1
14,Sheeja,sheeja@navigantbpm.com,sheeja,sheeja14,admin,1
